Alg,Set_Num,Rep_num,Train_acc,Test_acc,Train_err,Test_err,Seconds
RHC,0,0,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0068344
RHC,0,10,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0046152
RHC,0,20,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0048815
RHC,0,30,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0051587
RHC,0,40,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.004883
RHC,0,50,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0056105
RHC,0,60,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0050405
RHC,0,70,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0047515
RHC,0,80,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0047295
RHC,0,90,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0048332
RHC,0,100,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0047372
RHC,0,110,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0048476
RHC,0,120,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0048989
RHC,0,130,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.005148
RHC,0,140,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0050799
RHC,0,150,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.004793
RHC,0,160,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0068994
RHC,0,170,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0048428
RHC,0,180,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0046578
RHC,0,190,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0054528
RHC,0,200,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0050921
RHC,0,210,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.005537
RHC,0,220,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0055926
RHC,0,230,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0050708
RHC,0,240,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0046798
RHC,0,250,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0063186
RHC,0,260,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0048512
RHC,0,270,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0046931
RHC,0,280,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.004801
RHC,0,290,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0049704
RHC,0,300,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0052636
RHC,0,310,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.004766
RHC,0,320,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.006438
RHC,0,330,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0046839
RHC,0,340,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0048096
