Alg,Set_Num,Rep_num,Train_acc,Test_acc,Train_err,Test_err,Seconds
SA,0,4412,0.797180676269,0.798292488176,0.101363594211,0.10088382626,0.0123316499994
SA,0,4413,0.240809557446,0.236226276027,0.379595221277,0.381886861986,0.0121851839995
SA,0,4414,0.797242099444,0.798231066888,0.101335818387,0.100853810623,0.0123004489997
SA,0,4415,0.797088541507,0.798353909465,0.101472967804,0.100792367371,0.012339893
SA,0,4416,0.797211387857,0.798231066888,0.10133899708,0.100853763533,0.0123178089998
SA,0,4417,0.797242099444,0.798231066888,0.101335487562,0.10085378223,0.0123544469998
SA,0,4418,0.797364945794,0.798415330754,0.101379756204,0.100761624266,0.0122446169999
SA,0,4419,0.797242099444,0.798231066888,0.101335487562,0.10085378223,0.0123556279996
SA,0,4420,0.797242099444,0.798231066888,0.101335487562,0.10085378223,0.0123447169999
SA,0,4421,0.797242099444,0.798231066888,0.101335487562,0.10085378223,0.0123423639998
SA,0,4422,0.797211387857,0.798231066888,0.101337737742,0.100853768121,0.01224232
SA,0,4423,0.79619790547,0.797064062404,0.101856678715,0.101405187984,0.0123636409999
SA,0,4424,0.240809557446,0.236226276027,0.379595221277,0.381886861986,0.0122559929996
SA,0,4425,0.797242099444,0.798231066888,0.101336558445,0.100853845843,0.0122539710001
SA,0,4426,0.797242099444,0.798231066888,0.101335487562,0.10085378223,0.0123590860003
SA,0,4427,0.797242099444,0.798231066888,0.101335487562,0.10085378223,0.0124058539996
SA,0,4428,0.240809557446,0.236226276027,0.379595221277,0.381886861986,0.0126754749999
SA,0,4429,0.781364208716,0.785025489835,0.109302539848,0.107487255082,0.0123091289997
SA,0,4430,0.797272811032,0.798292488176,0.101423669001,0.100831762651,0.0123791710002
SA,0,4431,0.797242099444,0.798231066888,0.101335487562,0.10085378223,0.0123780659997
SA,0,4432,0.797303522619,0.798231066888,0.101370534014,0.100855137206,0.01227277
SA,0,4433,0.796259328645,0.797494011424,0.101825073544,0.101160777115,0.012762677
SA,0,4434,0.797242099444,0.798231066888,0.101335477536,0.100853792399,0.0142578530003
SA,0,4435,0.797211387857,0.798231066888,0.101352461365,0.100853757824,0.0252030219999
SA,0,4436,0.796689290869,0.797494011424,0.101579860301,0.101160898832,0.0123297390001
SA,0,4437,0.240809557446,0.236226276027,0.379595221277,0.381886861986,0.0123036640007
SA,0,4438,0.797242099444,0.798231066888,0.101335477536,0.100853792399,0.0123228530001
SA,0,4439,0.797242099444,0.798231066888,0.101335477536,0.100853792399,0.0122277769997
SA,0,4440,0.797272811032,0.798292488176,0.101423321591,0.10082679342,0.0123447659998
SA,0,4441,0.797242099444,0.798231066888,0.101335477536,0.100853792399,0.0123145960006
SA,0,4442,0.797242099444,0.798231066888,0.101335477536,0.100853792399,0.0123373619999
SA,0,4443,0.240809557446,0.236226276027,0.379595221277,0.381886861986,0.0120899880003
SA,0,4444,0.797242099444,0.798231066888,0.101335477536,0.100853792399,0.0123721979999
SA,0,4445,0.797242099444,0.798231066888,0.101335477536,0.100853792399,0.012308153
SA,0,4446,0.797303522619,0.798292488176,0.101438766501,0.100883001562,0.0122100729996
SA,0,4447,0.240809557446,0.236226276027,0.379595221277,0.381886861986,0.0122948569997
SA,0,4448,0.797242099444,0.798231066888,0.101335477536,0.100853792399,0.0123145449998
SA,0,4449,0.796720002457,0.798292488176,0.101656037726,0.10080419683,0.0124223940002
SA,0,4450,0.797242099444,0.798231066888,0.101335477536,0.100853792399,0.0124756430005
SA,0,4451,0.797242099444,0.798231066888,0.101335477536,0.100853792399,0.0122189559997
SA,0,4452,0.770983692147,0.775198083656,0.114492798133,0.112400958172,0.0121984040006
SA,0,4453,0.797242099444,0.798231066888,0.101335477536,0.100853792399,0.0123117379999
SA,0,4454,0.797242099444,0.798231066888,0.101335521909,0.100853795063,0.0123892210004
SA,0,4455,0.797242099444,0.798231066888,0.101335477536,0.100853792399,0.0123459410006
SA,0,4456,0.773502042321,0.776979301026,0.11324897884,0.111510349487,0.0123664899993
SA,0,4457,0.797242099444,0.798231066888,0.101335477536,0.100853792399,0.0122272060007
SA,0,4458,0.796351463407,0.797739696579,0.101781203135,0.101068730452,0.0123761639998
SA,0,4459,0.797242099444,0.798231066888,0.101335490933,0.100853793229,0.0124162380007
SA,0,4460,0.797303522619,0.798231066888,0.101385133633,0.100861248882,0.0123095129993
SA,0,4461,0.797272811032,0.798415330754,0.101379633657,0.1008537535,0.0123434499992
SA,0,4462,0.797088541507,0.798353909465,0.101472950872,0.10079237111,0.0123853389996
SA,0,4463,0.797242099444,0.798231066888,0.1013354494,0.100853772963,0.0123510410003
SA,0,4464,0.797242099444,0.798231066888,0.1013354494,0.100853772963,0.0123386280002
SA,0,4465,0.797242099444,0.797862539156,0.101440307078,0.100853872776,0.0123545959996
SA,0,4466,0.797272811032,0.798231066888,0.101338025086,0.100853894324,0.0125513080002
SA,0,4467,0.797211387857,0.798231066888,0.101371724988,0.100853755912,0.0123436599997
SA,0,4468,0.797180676269,0.798108224311,0.101442038455,0.1009459049,0.012494138
SA,0,4469,0.797211387857,0.798231066888,0.101351048326,0.100853757546,0.0125629439999
SA,0,4470,0.797242099444,0.798231066888,0.1013354494,0.100853772963,0.012303724
SA,0,4471,0.797242099444,0.798231066888,0.101335372799,0.100853783806,0.012469579
SA,0,4472,0.797272811032,0.798231066888,0.101341615348,0.100853951413,0.0124272980001
SA,0,4473,0.797242099444,0.798231066888,0.101335372799,0.100853783806,0.0123496510005
SA,0,4474,0.240809557446,0.236226276027,0.379595221277,0.381886861986,0.012278315
SA,0,4475,0.797242099444,0.798231066888,0.101335372799,0.100853783806,0.0123322920008
SA,0,4476,0.792236110685,0.793317363798,0.103805747481,0.103278758254,0.0123866650001
SA,0,4477,0.797242099444,0.798231066888,0.101335372799,0.100853783806,0.0122725030005
SA,0,4478,0.772672829459,0.775935139119,0.113648229477,0.111918100672,0.0126192939997
SA,0,4479,0.797242099444,0.798231066888,0.101335372799,0.100853783806,0.0122003309998
SA,0,4480,0.797211387857,0.797801117867,0.101385895961,0.101016849734,0.0123349780006
SA,0,4481,0.797242099444,0.798231066888,0.101335372799,0.100853783806,0.0126676950003
SA,0,4482,0.797149964682,0.798231066888,0.101441100912,0.100888031602,0.0121061259997
SA,0,4483,0.797242099444,0.798231066888,0.101335372799,0.100853783806,0.0122443279997
