Alg,Set_Num,Rep_num,Fitness,Seconds,Func_Evals,tokeep,samples
mimic,0,980,110.0,0.00789755899999,32738,0.1,30
mimic,0,990,110.0,0.008039416,33069,0.1,30
mimic,0,1000,110.0,0.00801317599999,33400,0.1,30
mimic,0,1010,110.0,0.007755602,33731,0.1,30
mimic,0,1020,110.0,0.007878272,34062,0.1,30
mimic,0,1030,110.0,0.00779158200001,34393,0.1,30
mimic,0,1040,110.0,0.00768448999997,34724,0.1,30
mimic,0,1050,110.0,0.00781628300001,35055,0.1,30
mimic,0,1060,110.0,0.007869779,35386,0.1,30
mimic,0,1070,111.0,0.00794204299999,35717,0.1,30
mimic,0,1080,111.0,0.007851364,36048,0.1,30
mimic,0,1090,111.0,0.007871857,36379,0.1,30
mimic,0,1100,111.0,0.00776323600002,36710,0.1,30
mimic,0,1110,111.0,0.00825546300001,37041,0.1,30
mimic,0,1120,111.0,0.007648453,37372,0.1,30
mimic,0,1130,111.0,0.00785073200001,37703,0.1,30
mimic,0,1140,111.0,0.00774266900001,38034,0.1,30
mimic,0,1150,111.0,0.00859267800001,38365,0.1,30
mimic,0,1160,111.0,0.014085862,38696,0.1,30
mimic,0,1170,111.0,0.014261167,39027,0.1,30
mimic,0,1180,111.0,0.01444022,39358,0.1,30
mimic,0,1190,111.0,0.014315161,39689,0.1,30
mimic,0,1200,112.0,0.00905707500002,40020,0.1,30
mimic,0,1210,112.0,0.00760051100002,40351,0.1,30
mimic,0,1220,112.0,0.00766985999999,40682,0.1,30
mimic,0,1230,112.0,0.00767087599999,41013,0.1,30
mimic,0,1240,112.0,0.008013234,41344,0.1,30
mimic,0,1250,112.0,0.00763738199998,41675,0.1,30
mimic,0,1260,112.0,0.00801790900002,42006,0.1,30
mimic,0,1270,112.0,0.00748050999999,42337,0.1,30
mimic,0,1280,112.0,0.00788377000001,42668,0.1,30
mimic,0,1290,112.0,0.00808317900001,42999,0.1,30
mimic,0,1300,112.0,0.00763531999999,43330,0.1,30
mimic,0,1310,112.0,0.00922070499999,43661,0.1,30
mimic,0,1320,112.0,0.00695315999999,43992,0.1,30
mimic,0,1330,112.0,0.00699073499999,44323,0.1,30
mimic,0,1340,112.0,0.00712439700001,44654,0.1,30
mimic,0,1350,112.0,0.007189783,44985,0.1,30
mimic,0,1360,112.0,0.00734432299998,45316,0.1,30
mimic,0,1370,113.0,0.00720662699999,45647,0.1,30
mimic,0,1380,113.0,0.00730951700001,45978,0.1,30
mimic,0,1390,112.0,0.007500392,46309,0.1,30
mimic,0,1400,112.0,0.00719896499999,46640,0.1,30
mimic,0,1410,112.0,0.00733956800002,46971,0.1,30
mimic,0,1420,112.0,0.007415202,47302,0.1,30
mimic,0,1430,112.0,0.00733084199999,47633,0.1,30
mimic,0,1440,112.0,0.00744908599998,47964,0.1,30
mimic,0,1450,112.0,0.007382581,48295,0.1,30
mimic,0,1460,112.0,0.00755809099999,48626,0.1,30
mimic,0,1470,113.0,0.00750307299998,48957,0.1,30
mimic,0,1480,113.0,0.00735129199998,49288,0.1,30
mimic,0,1490,113.0,0.00742967099998,49619,0.1,30
mimic,0,1500,113.0,0.00743281199999,49950,0.1,30
mimic,0,1510,113.0,0.00730185200001,50281,0.1,30
mimic,0,1520,113.0,0.00744558,50612,0.1,30
mimic,0,1530,113.0,0.00744022100002,50943,0.1,30
mimic,0,1540,113.0,0.00736182100002,51274,0.1,30
mimic,0,1550,113.0,0.007434628,51605,0.1,30
mimic,0,1560,113.0,0.007417237,51936,0.1,30
mimic,0,1570,113.0,0.00747423599998,52267,0.1,30
mimic,0,1580,113.0,0.007416917,52598,0.1,30
mimic,0,1590,113.0,0.00745218199998,52929,0.1,30
mimic,0,1600,113.0,0.00742123500001,53260,0.1,30
mimic,0,1610,113.0,0.00743315900002,53591,0.1,30
mimic,0,1620,113.0,0.00738436399999,53922,0.1,30
mimic,0,1630,113.0,0.00744657999999,54253,0.1,30
mimic,0,1640,113.0,0.007531005,54584,0.1,30
mimic,0,1650,113.0,0.00741783200002,54915,0.1,30
mimic,0,1660,113.0,0.00749879,55246,0.1,30
mimic,0,1670,113.0,0.00738128999998,55577,0.1,30
mimic,0,1680,113.0,0.00753792899999,55908,0.1,30
mimic,0,1690,113.0,0.00743137100002,56239,0.1,30
mimic,0,1700,113.0,0.007496764,56570,0.1,30
mimic,0,1710,113.0,0.00763796300001,56901,0.1,30
mimic,0,1720,113.0,0.007424899,57232,0.1,30
mimic,0,1730,113.0,0.00738616000001,57563,0.1,30
mimic,0,1740,113.0,0.00751030499998,57894,0.1,30
mimic,0,1750,113.0,0.00742681,58225,0.1,30
mimic,0,1760,113.0,0.00740560899999,58556,0.1,30
mimic,0,1770,113.0,0.00789717699999,58887,0.1,30
mimic,0,1780,113.0,0.007405127,59218,0.1,30
mimic,0,1790,113.0,0.00743862600001,59549,0.1,30
mimic,0,1800,113.0,0.007439737,59880,0.1,30
mimic,0,1810,113.0,0.007439011,60211,0.1,30
mimic,0,1820,113.0,0.00740364100002,60542,0.1,30
mimic,0,1830,113.0,0.00740434799999,60873,0.1,30
mimic,0,1840,113.0,0.00737138899999,61204,0.1,30
mimic,0,1850,113.0,0.00738702000001,61535,0.1,30
mimic,0,1860,113.0,0.00880859399999,61866,0.1,30
mimic,0,1870,113.0,0.007409392,62197,0.1,30
mimic,0,1880,113.0,0.00739847099999,62528,0.1,30
mimic,0,1890,113.0,0.00738070399998,62859,0.1,30
mimic,0,1900,113.0,0.00741127200001,63190,0.1,30
mimic,0,1910,113.0,0.007400381,63521,0.1,30
mimic,0,1920,113.0,0.00727804800002,63852,0.1,30
mimic,0,1930,113.0,0.00733525500002,64183,0.1,30
mimic,0,1940,113.0,0.00735535800001,64514,0.1,30
mimic,0,1950,113.0,0.00735332800002,64845,0.1,30
mimic,0,1960,113.0,0.00741339200002,65176,0.1,30
mimic,0,1970,113.0,0.00728887299999,65507,0.1,30
mimic,0,1980,113.0,0.00731865900002,65838,0.1,30
mimic,0,1990,113.0,0.00745880700001,66169,0.1,30
mimic,0,2000,113.0,0.00717808000002,66500,0.1,30
mimic,0,2010,113.0,0.00736502400002,66831,0.1,30
mimic,0,2020,113.0,0.00723418999999,67162,0.1,30
mimic,0,2030,113.0,0.007326616,67493,0.1,30
mimic,0,2040,113.0,0.00717581499998,67824,0.1,30
mimic,0,2050,113.0,0.0073629,68155,0.1,30
mimic,0,2060,113.0,0.007301076,68486,0.1,30
mimic,0,2070,113.0,0.00743927300002,68817,0.1,30
mimic,0,2080,113.0,0.00735641600002,69148,0.1,30
mimic,0,2090,113.0,0.00723773800001,69479,0.1,30
mimic,0,2100,113.0,0.00779072399999,69810,0.1,30
mimic,0,2110,113.0,0.00735679300001,70141,0.1,30
mimic,0,2120,113.0,0.007793623,70472,0.1,30
mimic,0,2130,113.0,0.00732258600002,70803,0.1,30
mimic,0,2140,113.0,0.00748366000002,71134,0.1,30
mimic,0,2150,113.0,0.00725712299999,71465,0.1,30
