Alg,Set_Num,Rep_num,Fitness,Seconds,Func_Evals,na
rhc,0,1190,97.0,2.56e-05,1319,0
rhc,0,1200,97.0,2.57e-05,1330,0
rhc,0,1210,97.0,3.51e-05,1341,0
rhc,0,1220,97.0,4.61e-05,1352,0
rhc,0,1230,97.0,3.31e-05,1363,0
rhc,0,1240,97.0,3.3e-05,1374,0
rhc,0,1250,97.0,2.53e-05,1385,0
rhc,0,1260,97.0,2.59e-05,1396,0
rhc,0,1270,97.0,7.6e-05,1407,0
rhc,0,1280,97.0,3.08e-05,1418,0
rhc,0,1290,97.0,3.53e-05,1429,0
rhc,0,1300,97.0,2.78e-05,1440,0
rhc,0,1310,97.0,2.56e-05,1451,0
rhc,0,1320,97.0,2.48e-05,1462,0
rhc,0,1330,97.0,2.66e-05,1473,0
rhc,0,1340,97.0,2.49e-05,1484,0
rhc,0,1350,97.0,4.88e-05,1495,0
rhc,0,1360,97.0,6.52e-05,1506,0
rhc,0,1370,97.0,3.34e-05,1517,0
rhc,0,1380,99.0,4e-05,1528,0
rhc,0,1390,99.0,2.7e-05,1539,0
rhc,0,1400,99.0,2.43e-05,1550,0
rhc,0,1410,99.0,4.54e-05,1561,0
rhc,0,1420,99.0,2.88e-05,1572,0
rhc,0,1430,99.0,7.67e-05,1583,0
rhc,0,1440,99.0,4.36e-05,1594,0
rhc,0,1450,99.0,3.37e-05,1605,0
rhc,0,1460,99.0,2.75e-05,1616,0
rhc,0,1470,99.0,7.4e-05,1627,0
rhc,0,1480,99.0,2.54e-05,1638,0
rhc,0,1490,101.0,3.44e-05,1649,0
rhc,0,1500,101.0,2.67e-05,1660,0
rhc,0,1510,102.0,3.79e-05,1671,0
rhc,0,1520,102.0,2.87e-05,1682,0
rhc,0,1530,102.0,3e-05,1693,0
rhc,0,1540,102.0,2.31e-05,1704,0
rhc,0,1550,102.0,2.36e-05,1715,0
rhc,0,1560,102.0,2.42e-05,1726,0
rhc,0,1570,102.0,7.04e-05,1737,0
rhc,0,1580,102.0,3.15e-05,1748,0
rhc,0,1590,102.0,2.91e-05,1759,0
rhc,0,1600,104.0,2.33e-05,1770,0
rhc,0,1610,104.0,4.16e-05,1781,0
rhc,0,1620,104.0,6.84e-05,1792,0
rhc,0,1630,104.0,3.1e-05,1803,0
