Alg,Set_Num,Rep_num,Train_acc,Test_acc,Train_err,Test_err,Seconds
RHC,0,0,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.083209895
RHC,0,1,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.028803444
RHC,0,2,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.026029195
RHC,0,3,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.027845936
RHC,0,4,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.012677655
RHC,0,5,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.012193779
RHC,0,6,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.012319518
RHC,0,7,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.012602673
RHC,0,8,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.012561857
RHC,0,9,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.012588665
RHC,0,10,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.013008182
RHC,0,11,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.013315879
RHC,0,12,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.012964423
RHC,0,13,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.012503199
RHC,0,14,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.012552055
RHC,0,15,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.013306073
RHC,0,16,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.012650319
RHC,0,17,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.0128388
RHC,0,18,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.012565995
RHC,0,19,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.012542906
RHC,0,20,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.012661404
RHC,0,21,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.012726464
RHC,0,22,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.012911879
RHC,0,23,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.012807911
RHC,0,24,0.759190442554,0.763773723973,0.120404778723,0.118113138014,0.012635998
